Index,Original string,Book Title,Author,Publishing Place,Hebrew Calendar Year,Gregorian Calendar Year,Size,book id,api_title,api_record_id,api_id,api_publisher,api_date,api_author
1_LS,"אבודרהם. ה""ר דוד ן' אבודרהם. פי' התפלה מכל השנה והדינים. קושטאנדינה. רע""ד. 1514 .2",אבודרהם,דוד ן' אבודרם,קושטאנדינה,,1514,2,,אבודרהם.,990010945820205171,https://www.nli.org.il/en/books/NNL_ALEPH990010945820205171,(קושטשטינא[!] : דפוס אשטרוק דטולון,"רע""ד [1513])","Astruc, of Toulon, active 1503-1513 printer"
2_LS,די׳ _ _ _ ויניציאה. שכ״ו. 1566 4.,,,ויניציאה,,1566,4,,,,,,,
3_LS,"די - אמשטרדם. תפ""ו, 1726 .8",,,אמשטרדם,,1726,8,990011882950205171,,,,,,
10_LS,"אבי עזר. ה""ר שלמה הכהן מליסא, פי' על אבן עזרא עה""ת. (מ""ע באר רחובות). פוזנא. תקס""ב 1802 4.",פירוש על אבן עזרא,שלמה הכהן מליסא,פוזנא,"תקס""ב",1802,4,990020820290205171,,,,,,
11_LS,"אביעזר, ה""ר מרדכי אהרן גינצבורג. (מ""ע כינור דוד). ווילנא. 1863 .8",אביעזר,מרדכי אהרן גינצבורג,ווילנא,,1863,8,990018645450205171,,,,,,
12_LS,"אביעזר. (או מוכיה הכס). ה' צבי הירש הלוי אנאפאלסקי. (מ""ע היי עולם). אדעסא. 1863 .8",אביעזר,צבי הירש הלוי אנאפאלסקי,אדעסא,,1863,8,,"אביעזר, או, מוכיח חכם / העתקה חפשית מלשון אשכנז מספר הטהעפראן מהמחבר קאמפע ; נעתק מאתי צבי הירש אנאפאלסקי [אנופולסקי] ...",990018205150205171,https://www.nli.org.il/en/books/NNL_ALEPH990018205150205171,אדעסא : ל' ניטצשע ואלכסנדר צעדערבוים,18630101,"אנופולסקי, צבי הירש בן יצחק$$Qאנופולסקי, צבי הירש בן יצחק"
13_LS,"אביר יעקב. ה""ר יעקב שמשון שבתי סיניגאליא, על מס' כריתות פיסא. תקע""א. 1811 4.",אביר יעקב,יעקב שמשון שבתי סיניגאליא,,"תקע""א",1811,4,,"אביר יעקב : חדושים על גפ""ת במסכת כריתות ... / אני יעקב שמשון שבתי מסיניגאליא ...",990013056400205171,https://www.nli.org.il/en/books/NNL_ALEPH990013056400205171,פיסא : דפוס שמואל מולכו,"פדה ה' א'ת' י'ע'ק'ב' לפ""ג. [תקע""א]",Valmadonna Trust former owner
14_LS,"אבל גדול. ה""ר אברהם תאומים. על מות ר' ישראל מרוזין. לעמבערג. תרי""א. 1851 .4",אבל גדול,אברהם תאומים,לעמבערג,"תרי""א",1851,4,,"ספר אבל גדול / אשר הרים כבוד הרב אברהם תאומים ... להרב ישראל מרוזין ; ונסתפח לזה קונטרס אחד מחבורי הגדול בית אברהם על השו""ע.",990020901020205171,https://www.nli.org.il/en/books/NNL_ALEPH990020901020205171,לעמבערג : מודפס אצל פארעמבא,"תרי""א","תאומים, אברהם בן ישראל$$Qתאומים, אברהם בן ישראל"
15_LS,"אבל יחיד. ה""ר אברהם דוב בערוש פלאהם. על מות ה""ר יעקב מליסא. וה""ר אברהם אבלי אבד""ק בייאלע, וה""ר אהרן הנקרא ר' ארוש מינץ. ווארשא. תקצ""ד. 1833 4.",אבל יחיד,אברהם דוב בערוש פלאהם,ווארשא,"תקצ""ד",1833,4,,"אבל יחיד : על מות אדמו""ר הרב הגאון ... ר' עקיבא איגר / מאת ... רפאל בר""י פירשטענטהאל ... [שיר קינה].",990020407630205171,https://www.nli.org.il/en/books/NNL_ALEPH990020407630205171,ברעסלויא : דפוס הירש זולצבאך,18370101,"פירשטענטאל, רפאל בן יעקב, 1781-1855$$Qפירשטענטאל, רפאל בן יעקב, 1781-1855"
16_LS,"אבל כבד. ה""ר אד""ם הכהן לעבענזאהן. על מות הגאון ר""ש קאצינעלנבויגן ז""ל. ווילנא. 1825 .8",אבל כבד,"אד""ם הכהן לעבענזאהן",ווילנא,,1825,8,,"אבל כבד : ומספד תמרורים על מות הרב ... מתתיהו סטרשון ז""ל ...",990013294490205171,https://www.nli.org.il/en/books/NNL_ALEPH990013294490205171,ווילנא : דפוס קאצינעלינבויגען,"תרמ""ו","אנטוקולסקי, משה שמעון בן ברוך ראובן, 1850-1911$$Qאנטוקולסקי, משה שמעון בן ברוך ראובן, 1850-1911"
17_LS,"אבל כבד. ה""ר אברהם נאטקיש. על מות ה""ר אלעזר סג""ל לנדא ז""ל. (מ""ע לישרים תהלה). זאלקווי. 1831 .8",אבל כבד,אברהם נאטקיש,זאלקווי,,1831,8,,דמעות לישרים : על מות ... יעקב שמואל ביק ... יהודה ליב מיזיס ... / מאת [אברה]ם [נוטקי]ש.,990019383500205171,https://www.nli.org.il/en/books/NNL_ALEPH990019383500205171,ZOLKIEW : דפוס S. MEYERHOFFER,18310101,"נוטקיש, אברהם, נפטר 1862$$Qנוטקיש, אברהם, נפטר 1862"
18_LS,"אבל כבד. ה""ר נפתלי בנעט. על מות ר' משה סופר ז""ל. (מ""ע בחינת עולם). פרעסבורג. 1840 .4",אבל כבד,נפתלי בנעט,פרעסבורג,,1840,4,990018487110205171,,,,,,
19_LS,"אבל כבד. ה""ר משה שמעון הכהן אנטאקאלסקי. על מות הגאון ר' מתתי' שטראשון ז""ל, ונלוה אליו קינה לדור"" מאת בן אחיו הר""ר דוד בר""י שטראשון. ווילנא. 1886 .8",אבל כבד,משה שמעון הכהן אנטאקאלסקי,ווילנא,,1886,8,,,,,,,
20_LS,"אבל משה. ה""ר אליעזר ליפמן, על מות ר' משה סופר ז""ל. (מ""ע שערי קודש). אפען. 1840 .4",אבל משה,אליעזר ליפמן,,,1840,4,,,,,,,
21_LS,"אבן בוחן. ה""ר קלונימוס. בחינת מומי העולם במליצה. ויניציאה. ש""ו. 1546 .4",אבן בוחן. בחינת מומי העולם במליצה.,קלונימוס,ויניציאה,,1546,4,,"ספר אבן בוחן / ... שחבר ... מו' פנחס במ' יהודה שהיה מ""מ בק""ק פאלצק ... ; יסוד הספר הזה מספר אבן בוחן שחיבר ר' קלונמס הזקן ...",990020278340205171,https://www.nli.org.il/en/books/NNL_ALEPH990020278340205171,"ווילנא : דפוס ארי' ליב וגרשון במ' יחיאל חרפ""ש לורי' ...","תקנ""ט",
22_LS,"די. עם העתקה אשכנזית. נקרא דרך הישר. זולצבאך. תס""ה. 1705 .4",דרך הישר,,זולצבאך,,1705,4,,,,,,,
23_LS,"די. עם מ""מ וציונים, נקרא אבני מלואים. (מ""ע יסוד עולם). לעמבערג. 1865 .8",אבני מלואים,"עם מ""מ וציונים, נקרא",לעמבערג,,1865,8,,,,,,,
24_LS,"די'. נתקצר ע""י ה""ר פנחס מ""מ בפאלצק. (מ""ע בחינת עולם). ווילנא. תקנ""ט. 1799 .8",בחינת עולם,"פנחס מ""מ בפאלצק",ווילנא,"תקנ""ט",1799,8,,,,,,,
25_LS,"די. --- (מ""ע חכמת שלמה). (קעניגסבערג). תרי""ט, 1859 .8",חכמת שלמה,"--- (מ""ע",קעניגסבערג,"תרי""ט",1859,8,,,,,,,
