book name,book_id,Likutei Shoshanim_id,link_to_nli_page,title,type,record_id,language_nli,publisher,format,thumbnail,link_to_marc,subject,contributors,vertitle-yivo,institution-yivo,delcategory-yivo,creator-yivo,creationdate-yivo,lds29-yivo,availinstitution-yivo,subject-yivo,format-yivo,availlibrary-yivo,language-yivo,type-yivo,title-yivo,version-yivo,contributor-yivo,publisher-yivo,availpnx-yivo,lds10-yivo,lds01-yivo,unititle-yivo,lds03-yivo
אוצר לשון הקדש. פירשט,990020412310205171,196_LS,https://www.nli.org.il/en/books/NNL_ALEPH990020412310205171,"אוצר לשון הקדש : ... הנקרא ספר קונקורדאנציא ... ומחוברל אליו ספר מדרש מלין על תורה נביאים וכתובים בלשון רומי ועברי ... ובסוף הספר ... עוד קבוצים ... השכי""ם לידיעת לשון הקדש ... / ממני ... יוסף ... אלסארי המכונה יוליוס פירסט ...",book,990020412310205171,heb,לפסיא : טאוכניץ,"XII, 1248 עמודים ; 37 ס""מ.",https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE94915428,https://iiif.nli.org.il/IIIFv21/marc/bib/990020412310205171,"Bible -- Concordances, Hebrew",,מערכי לשון עבר : תורה לשון הקדש ...,CJH,Online Resource,"שטיינבעגג, יהושע, נפ׳ 1908. ; J. Steinberg (Joshua), -1908",1884,CJH_ALEPH000047598,$$ICJH$$Savailable,Hebrew language -- Grammar,"iv, x, 165 pages ; 22 cm",$$ICJH$$LYIVOL$$1Main Stack Collection$$2(000009887)$$Savailable$$31$$40$$5N$$60$$XCJH50$$YYIVOL$$ZYIMAI,heb,book,Maʻarkhe leshon ʻEver : torat leshon ha-kodesh ...,2,"This book was digitized as part of the Edward Blank YIVO Vilna Online Collections Project, a 7-year international project to preserve, digitize, and virtually reunite YIVO's prewar library and archival collections located in New York City and Vilnius, Lithuania, through a dedicated web portal.","Ṿilna : Rom, 1884.; ווילנא : ראם, 1884.",available,"Digital images of this item may be used for personal, research and educational purposes only. Publication (including posting on the Internet and online exhibitions) or any other use without prior authorization is prohibited. Please visit https://www.yivo.org/Rights-Reproductions for more information about use of materials from this website.",YIVO,,9887
"אחיאסף. תרס""ב",990011571840205171,,,"אחיאסף לוח-עם ספרותי ושמושי עם תמונות וציורים לשנת תרנ""ד-תרפ""ג.",journal,990011571840205171,heb,ווארשא : דפוסים שונים,"13 כרכים ; 21 ס""מ.",,https://iiif.nli.org.il/IIIFv21/marc/bib/990011571840205171,Hebrew literature -- Periodicals,"לילינבלום, משה יהודה ליב בן צבי, 1843-1910; לילינבלום, משה יהודה ליב בן צבי, 1843-1910  ברינין, ראובן, 1862-1939; ברינין, ראובן, 1862-1939  קלוזנר, יוסף, 1874-1958; קלוזנר, יוסף, 1874-1958  טהון, יהושע, 1870-1936; טהון, יהושע, 1870-1936",,,,,,,,,,,,,,,,,,,,,
דברי הימים לבני ישראל. פין,990020399690205171,885_LS,https://www.nli.org.il/en/books/NNL_ALEPH990020399690205171,"דברי הימים לבני ישראל : כולל כל קורות בני ישראל בארצם ובכל מקומות מושבותיהם וקורות השתלשלות התורה והחכמה בישראל מגלות בבל עד ימי הדור הזה / מאת שמואל יוסף ב""ר יצחק אייזיק פין.",book,990020399690205171,heb,ווילנא : דפוס פין וראזענקראנץ,"2 כרכים (חלק ראשון-שני) ; 22 ס""מ.",https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE16390223,https://iiif.nli.org.il/IIIFv21/marc/bib/990020399690205171,Jews -- History -- 586 B.C.-70 A.D,,דברי הימים לבני ישראל : כולל קורות בני ישראל בארצם ובכל מקומות מושבותיהם וקורות השתלשלות התורה והחכמה בישראל מגלות בבל עד ימי הדור הזה,CJH,Online Resource,"פין, שמואל,יוסף בן יצחק אייזיק, 1818-1890. ; S. J. Fuenn (Samuel Joseph), 1818-1890",1871-1877,CJH_ALEPH000091423,$$ICJH$$Savailable,Jews -- History,2 volumes in 1 ; 21 cm,$$ICJH$$LYIVOL$$1YIVO Vilna Collection$$2(000200135)$$Savailable$$31$$40$$5N$$60$$XCJH50$$YYIVOL$$ZYIVIL,heb,book,Divre ha-yamim li-vene Yiśraʼel : kolel ḳorot bene Yiśraʼel be-artsam uve-khol meḳomot moshvotehem ṿe-ḳorot hishtalshelut ha-Torah ṿeha-ḥokhmah be-Yiśraʼel mi-galut Bavel ʻad yeme ha-dor ha-zeh.,1,"This book was digitized as part of the Edward Blank YIVO Vilna Online Collections Project, a 7-year international project to preserve, digitize, and virtually reunite YIVO's prewar library and archival collections located in New York City and Vilnius, Lithuania, through a dedicated web portal.","Ṿilna : Bi-defus Sh. Y. Fin ṿe-r. A. Ts. Rozenḳrants, 1871-1877.; ווילנא : בדפוס ש. י. פין ור׳ א. צ. ראזענקראנץ, 7781־1781.",available,"Digital images of this item may be used for personal, research and educational purposes only. Publication (including posting on the Internet and online exhibitions) or any other use without prior authorization is prohibited. Please visit https://www.yivo.org/Rights-Reproductions for more information about use of materials from this website.",YIVO,,200135
"אחיאסף. תרנ""ט",990011571840205171,,,"אחיאסף לוח-עם ספרותי ושמושי עם תמונות וציורים לשנת תרנ""ד-תרפ""ג.",journal,990011571840205171,heb,ווארשא : דפוסים שונים,"13 כרכים ; 21 ס""מ.",,https://iiif.nli.org.il/IIIFv21/marc/bib/990011571840205171,Hebrew literature -- Periodicals,"לילינבלום, משה יהודה ליב בן צבי, 1843-1910; לילינבלום, משה יהודה ליב בן צבי, 1843-1910  ברינין, ראובן, 1862-1939; ברינין, ראובן, 1862-1939  קלוזנר, יוסף, 1874-1958; קלוזנר, יוסף, 1874-1958  טהון, יהושע, 1870-1936; טהון, יהושע, 1870-1936",,,,,,,,,,,,,,,,,,,,,
השלוח. 1. אחד- העם,990020821610205171,,https://www.nli.org.il/en/journals/NNL-Journals990020821610205171,"השלח מכתב עתי חדשי למדע, לספרות ולעניני החיים ...",journal,990020821610205171,heb,ברלין : [מוציא לאור לא ידוע],"כר' ; 25 ס""מ.",,https://iiif.nli.org.il/IIIFv21/marc/bib/990020821610205171,Hebrew literature -- Periodicals,"אחד העם, 1856-1927; אחד העם, 1856-1927 קלוזנר, יוסף, 1874-1958; קלוזנר, יוסף, 1874-1958 ביאליק, חיים נחמן, 1873-1934; ביאליק, חיים נחמן, 1873-1934 פיכמן, יעקב, 1881-1958; פיכמן, יעקב, 1881-1958",,,,,,,,,,,,,,,,,,,,,
"דברי ימי ישראל- שפ""ר. 1",990018705240205171,,https://www.nli.org.il/en/books/NNL_ALEPH990018705240205171,דברי ימי היהודים : מראשית היותם מימי קדם עד הימים האלה ... / נעתקים לשפת עבר מאת אברהם כהן קאפלאן ...,book,990018705240205171,heb,וויען : האחים ווינטער,8,https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE91486081,https://iiif.nli.org.il/IIIFv21/marc/bib/990018705240205171,Jews -- History,"קפלן, אברהם; קפלן, אברהם",,,,,,,,,,,,,,,,,,,,,
"תורה. בראשית- מלבי""ם",990020950010205171,,https://www.nli.org.il/en/books/NNL_ALEPH990020950010205171,"תורה : עם תרגום אונקלוס ופירש""י ובעל הטורים ושפתי חכמים ... ופירוש יקר נקרא בשם התורה והמצוה ... / מאת הגאון ... מוה' מאיר ליבוש מלבי""ם ... ; נדפס דם פי' שפתי חכמים.",book,990020950010205171,heb,ווארשא : פ. י. לעבענזאהן וד. פריעדמן,"כרכים ; 24 ס""מ.",https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE105478373,https://iiif.nli.org.il/IIIFv21/marc/bib/990020950010205171,Bible. Pentateuch -- Commentaries,"מלבים, מאיר ליבוש, 1809-1879.; מלבים, מאיר ליבוש, 1809-1879.",,,,,,,,,,,,,,,,,,,,,
"באורי אהר""ן שפירא- עה""ת",990023920870205171,539_LS,https://www.nli.org.il/en/books/NNL_ALEPH990023920870205171,"קובץ מפרשי רש""י על התורה : הכולל שמונה קונטרסים על פירוש רש""י לתורה / [העורך - אהרן שפירא].",book,990023920870205171,heb,"פרדס כץ : מתיבתא דרש""י, בית המדרש לתורת רש""י","שפב, [2] עמודים : פקסימילים ; 25 ס""מ.",,https://iiif.nli.org.il/IIIFv21/marc/bib/990023920870205171,"Rashi, 1040-1105. Perush Rashi ʻal ha-Torah; Zanz Hasidim; Bible. Pentateuch -- Commentaries","שפירא, אהרן בן יצחק איזיק.; שפירא, אהרן בן יצחק איזיק. בירדוגו, משה בן אברהם, 1679 בערך-1730.; בירדוגו, משה בן אברהם, 1679 בערך-1730. עייאש, יהודה בן יצחק, 1700-1760.; עייאש, יהודה בן יצחק, 1700-1760. קרבליו, יצחק בן מרדכי ברוך.; קרבליו, יצחק בן מרדכי ברוך. מלאכי בן יעקב, הכהן.; מלאכי בן יעקב, הכהן. מונדשיין, יהושע, 1947-2014; מונדשיין, יהושע, 1947-2014 שפירא, צבי אלימלך בן פסח, מדינוב, 1783-1841.; שפירא, צבי אלימלך בן פסח, מדינוב, 1783-1841. הלברשטאם, יחזקאל שרגא בן חיים, 1815-1898.; הלברשטאם, יחזקאל שרגא בן חיים, 1815-1898. פרידמאן, משה בן יהושע.; פרידמאן, משה בן יהושע. מנלה, שמעון זאב בן דוד עזריאל זליג, מינדזב.; מנלה, שמעון זאב בן דוד עזריאל זליג, מינדזב.",פירוש התורה ...,CJH,Online Resource,"אבן עזרא, אברהם בן מאיר. ; Abraham ben Meïr Ibn Ezra 1089-1164",[274 [1514],CJH_ALEPH000007560,$$ICJH$$Savailable,Bible -- Commentaries -- Early works to 1800,87 leaves 174 unnumbered pages ; 28 cm,$$ICJH$$LYIVOL$$1Rare Book Collection$$2(Istanbul 1514)$$Savailable$$31$$40$$5N$$60$$XCJH50$$YYIVOL$$ZYIRAR,heb,book,"Perush ha-Torah she-hiber R. Avraham ben Ezra z""l.",1,"אסטרוק דטולון; Asṭaroḳ de-Ṭulun, Printer.; This book was digitized as part of the Edward Blank YIVO Vilna Online Collections Project, a 7-year international project to preserve, digitize, and virtually reunite YIVO's prewar library and archival collections located in New York City and Vilnius, Lithuania, through a dedicated web portal.","[Ḳonṭaśṭina] : [Asṭaroḳ de-Ṭulun ha-meḥoḳeḳ], [274 [1514]; [קונטשטינא] : [אסטרוק דטולון המחוקק], [274 [1514]",available,"Digital images of this item may be used for personal, research and educational purposes only. Publication (including posting on the Internet and online exhibitions) or any other use without prior authorization is prohibited. Please visit https://www.yivo.org/Rights-Reproductions for more information about use of materials from this website.",YIVO,,Istanbul 1514
יד יוסף. דרוש,990012226880205171,,https://www.nli.org.il/en/books/NNL_ALEPH990012226880205171,ספר יד יוסף : ... ארבע או חמש דרושים ... בכל פרשה ופרשה ודרושי' לחופה ולמילה ... ולשבת בגדול ולחג הפסח ולחג השבועו' ...,ebook,990012226880205171,heb,ויניציאה : דפוס פייטרו ולורינצו בראגאדין,"רפז, [13] דפים ; 31 ס""מ.",https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE34919339,https://iiif.nli.org.il/IIIFv21/marc/bib/990012226880205171,Rare books; Jewish sermons; Bible -- Sermons,,,,,,,,,,,,,,,,,,,,,,
"קול אומר קרא. ח""א ",990020636480205171,,https://www.nli.org.il/en/books/NNL_ALEPH990020636480205171,"ספר קול אומר קרא : דרושים ... לכל שבתות השנה, למועדים ... עם איזה הערות בבאורי המקראות ... בשם טעמא דקרא / ... יוסף חיים ... קרא ...",book,990020636480205171,heb,ווארשא : דפוס ח' קעלטער,"4 כרכים (כרך א-ד, [4], צ, [1]; [2], פד; [2], מה, מ דפים ; 8.",https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE112845966,https://iiif.nli.org.il/IIIFv21/marc/bib/990020636480205171,Bible. Pentateuch -- Sermons,,,,,,,,,,,,,,,,,,,,,,
"תורה בראשית. עפ""י ריגיין",9900001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"האשתדל. שד""ל",990019783170205171,1333_LS,https://www.nli.org.il/en/books/NNL_ALEPH990019783170205171,המשתדל : והוא פירוש על קצת מקומות מן התורה / מלאכת שמואל דוד לוצאטו ...,book,990019783170205171,heb,ווין : דפוס פראנץ עדלער פאן שמיד,"[4], יב; טז; ח; כג דפים ; 22 ס""מ.",https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE94161632,https://iiif.nli.org.il/IIIFv21/marc/bib/990019783170205171,Bible. Pentateuch -- Commentaries,,פירוש על התורה.,CJH,Online Resource,"לוי בן גרשון, 1288-1344. ; Levi ben Gershom, 1288-1344",307 [1547],CJH_ALEPH000007555,$$ICJH$$Savailable,"1546, -- printing date",248 leaves ; 31 cm,$$ICJH$$LYIVOL$$1Rare Book Collection$$2(Venice 1547)$$Savailable$$32$$40$$5N$$60$$XCJH50$$YYIVOL$$ZYIRAR,heb,book,Perush ʻal ha-Torah.,1,"בומבירגי,דניאל, 1483-1553?; Daniel Bomberg 1483-1553?; Israel Cornelius Adelkind active 1519-1554 Printer.; Mathias Strashun 1817-1885, Former owner.; Hayim Leib Markon Former owner.; This book was digitized as part of the Edward Blank YIVO Vilna Online Collections Project, a 7-year international project to preserve, digitize, and virtually reunite YIVO's prewar library and archival collections located in New York City and Vilnius, Lithuania, through a dedicated web portal.","Ṿenetsyah : Nidpas be-Vet Daniyel Bombirgi, 307 [1547]; ויניצייא : נדפס בבית דניאל בומבירגי, ש״ז [1547]",available,"Digital images of this item may be used for personal, research and educational purposes only. Publication (including posting on the Internet and online exhibitions) or any other use without prior authorization is prohibited. Please visit https://www.yivo.org/Rights-Reproductions for more information about use of materials from this website.",YIVO,,Venice 1547
"זרובבל. ריב""ל",990019809120205171,,https://www.nli.org.il/en/books/NNL_ALEPH990019809120205171,זרבבל : שכולו אומר אהבה ושלום למין האנושי בכלל ... ובהפך דעת ראש משטינינו ... בספרו נתיבות עולם ... / מאת ... ר' יצחק בער לעווינזאהן ...,book,990019809120205171,heb,ווארשא : דפוס אלכסנדר גינס,4 כרכים (חלק א-[ד] ; 8.,,https://iiif.nli.org.il/IIIFv21/marc/bib/990019809120205171,Judaism -- Apologetic works; Judaism -- Controversial literature; Jewish philosophy,,,,,,,,,,,,,,,,,,,,,,
עולם כמנהגו. גארדאו,9900002,3606_LS,,,,,,,,,,,,עולם כמנהגו,CJH,Online Resource,"גארדאן, יהודה ליב, 1860-1927. ; Yehudah Leyb ben Meʼir Gordon 1860-1927","1873-1874 [v. 1, 1874]",CJH_ALEPH000048364,$$ICJH$$Savailable,"Short stories, Hebrew",2 volumes in 1 ; 22 cm,$$ICJH$$LYIVOL$$1YIVO Vilna Collection$$2(000201247)$$Savailable$$31$$40$$5N$$60$$XCJH50$$YYIVOL$$ZYIVIL,heb,book,ʻOlam ke-minhago / sipure Yehudah Leyb Gordon.,1,"This book was digitized as part of the Edward Blank YIVO Vilna Online Collections Project, a 7-year international project to preserve, digitize, and virtually reunite YIVO's prewar library and archival collections located in New York City and Vilnius, Lithuania, through a dedicated web portal.","Ṿarsha : [ḥ.mo.l.], 1873-1874 [v. 1, 1874]; װארשא : [ח.מו.ל.], 1874־1873.",available,"Digital images of this item may be used for personal, research and educational purposes only. Publication (including posting on the Internet and online exhibitions) or any other use without prior authorization is prohibited. Please visit https://www.yivo.org/Rights-Reproductions for more information about use of materials from this website.",YIVO,,201247
צפנת פענח. דרושיך,990000442620205171,1144_LS,https://www.nli.org.il/en/books/NNL_ALEPH990011595190205171//NLI,ספר צפנת פענח / ר' יוסף בן משה אלאשקר ; מבוא - משה אידל.,book,990000442620205171,heb,[ירושלים] : משגב ירושלים,"56 עמודים, [232] דפים, לז, [3] עמודים ; 35 ס""מ.",https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE190548024,https://iiif.nli.org.il/IIIFv21/marc/bib/990011595190205171,Cabala; Cabala -- History -- 16th century,"אידל, משה, 1947-; אידל, משה, 1947-",,,,,,,,,,,,,,,,,,,,,
עיט צבוע. מאפו,990011572930205171,3656_LS,https://www.nli.org.il/en/books/NNL_ALEPH990011572930205171,עיט צבוע / מאת אברהם בן-יקותיאל מאפו ...,book,990011572930205171,heb,ווארשא : (דפוס א. גינז,"5 כרכים ב-1 (חלק א-ה, 156; 208; 196; 192; 126; 65 עמודים) ; 19 ס""מ.",,https://iiif.nli.org.il/IIIFv21/marc/bib/990011572930205171,,,עיט צבוע.,CJH,Physical Item,"מאפו, אברהם בן יקותיאל. ; Avraham ben Yeḳutiʼel. Mapu",617 [1857],CJH_ALEPH000305197,$$ICJH$$Savailable,,146 pages ; cm.,$$ICJH$$LYIVOL$$1Main Stack Collection$$2(000050920)$$Savailable$$31$$40$$5N$$60$$XCJH50$$YYIVOL$$ZYIMAI,heb,book,ʻAyiṭ tsavuʻa.,1,"This book was digitized as part of the Edward Blank YIVO Vilna Online Collections Project, a 7-year international project to preserve, digitize, and virtually reunite YIVO's prewar library and archival collections located in New York City and Vilnius, Lithuania, through a dedicated web portal.","Ṿilna : [publisher not identified], 617 [1857]; ווילנא : [publisher not identified], תרי""ז.",available,"Digital images of this item may be used for personal, research and educational purposes only. Publication (including posting on the Internet and online exhibitions) or any other use without prior authorization is prohibited. Please visit https://www.yivo.org/Rights-Reproductions for more information about use of materials from this website.",YIVO,,50920
השחר. 6 סמולנסקין,990002787280205171,,,"השחר : ... בו יבואו א) מאמרי חכמה ... תולדות אנשי השם ... ב) ספורים בדוים שירים ומסעות ... ג) באורים בכתבי הקודש, בתלמוד מדרשים ... ד) חדשות הנעשות בארץ ... ה) מכתבי אנשי השם / ... יוצא לאור מדי חדש בחדשו על ידי פרץ בן משה סמאלענסקין.",journal,990002787280205171,heb,ווין,11 כרכים.,https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE13505505,https://iiif.nli.org.il/IIIFv21/marc/bib/990002787280205171,Judaism -- Periodicals,"סמולנסקין, פרץ בן משה, 1842-1885; סמולנסקין, פרץ בן משה, 1842-1885",,,,,,,,,,,,,,,,,,,,,
דמיון הרפואות,990040988390205171,974_LS,https://www.nli.org.il/en/books/NNL_ALEPH990040988390205171,"ספר דמיון הרפואות : שבו נדמה ומשוה ... רפואות הנפשיות עם רפואות הגופניות ... / כתבו ולקטו כהר""ר אברם רופא וואליך ; [העורך] - הר""ר ליב רופא [וואליך].",book,990040988390205171,heb,ווילנא : [מוציא לאור לא ידוע],"1 כרך (מספור עמודים רב) ; 12 ס""מ.",https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE157390775,https://iiif.nli.org.il/IIIFv21/marc/bib/990040988390205171,Jews -- Medicine; Medicine -- Religious aspects -- Judaism,"וואליך, ליב בן אברהם (עורך מחבר תוכן טקסטואלי נוסף); וואליך, ליב בן אברהם",,,,,,,,,,,,,,,,,,,,,
פרדס. ראבניצקי,990020435040205171,,,"פרדס : אוסף ספרותי / הוצאת י""ח ראבניצקי.",journal,990020435040205171,heb,אדעסא : דפוס א' דוכנא,"3 כרכים [3], 292; VI, 290; [2], 262 [צ""ל 264], 71, [1] עמודים (ספר א-ג) ; 8.",,https://iiif.nli.org.il/IIIFv21/marc/bib/990020435040205171,Hebrew literature -- Periodicals,"רבניצקי, יהושע חנא, 1859-1944; רבניצקי, יהושע חנא, 1859-1944",,,,,,,,,,,,,,,,,,,,,
